gene_id,10.5_n1,10.5_n2,11.5_n1,11.5_n2,13.5_n1,13.5_n2,15.5_n1,15.5_n2,15.5_n3,15.5_n4,18.5_n1,18.5_n2,P0_n1,P0_n2,Adult_n1,Adult_n2
RAB27A,60,103,36,79,217,156,309.99,507,164,168,107,179,597,413,1184,1920
AQP9,0,0,1,8,11,3,9,8,1,2,0,5,8,1,12,4
LIPC,0,0,0,0,42,5,6,4,6,5,13,24,12,6,12,15
SLTM,1038,1654,213,608,861,574,1493,1734,503,409,369,448,2027,1605,1998,2245
RSL24D1,1087,1122,214,445,1096,910,1158,1561,384,278,558,559,1277,759,723.14,995
NEDD4,33857.73,49257.86,8428.56,19818.76,56560,38474.5,52617.93,57212.83,22099.66,17065.9,29827,32784.3,34646.7,33219.84,14825.3,17351.34
RNF111,926,1519,231,668,1201,800,1208,1226,609,540,633,787,1050,914,942,1189
CCNB2,1105,1205,198,365,1215,786,863,994,183,123,211,248,482,395,78,230
MYO1E,318,494,126,234,666,340,1168,1192,646,462,629,847,1246,1180,1697,1874
MNS1,476.23,651,49.12,129.91,196.62,104.32,670.33,1087.53,174.93,144.32,31.53,93.09,517.87,284.94,285.07,426.43
FAM81A,103,138,10,49,293,245,253,411,128,90,139,125,242,114,45.95,89
GCNT3,0,0,0,9,7,7,8,7,87,61,50,91,118,117,116,209
TCF12,6040,9219,1419,4008,4213,2257,6261,7701,2375,1776,2602,2895,4565,4588,2307,2798
ANXA2,1013,1369,1146,2221,6993,5494,16433,19203,7205,5574,8648,10816,23451,12350,24912,42835
CGNL1,383,762,171,315,3290,3413,1978,2102,993,754,1050,1216,2697,2336,1384,1812
ICE2,466,770,138,305,527,340,616,757,216,186,205,201,426,408,374,405
RORA,71,193,47,151,252,253,550,443,773,597,694,887,1088,1424,1586,1335
RP9,173,180,52,115,331,274,361,467,136,108,163,228,526,344,256,439.03
ITGA11,93,92,63,99,213,148,375,415,243,123,419,469,529,444,224,252
FEM1B,4010,5355,609,2190,3924,2460,3509,3146,1285,1085,1496,1595,1612,1371,1288,1363
CLN6,97,121,30,89,459,373,707,923,163,136,187,226,747,530,349,585
CALML4,3,3,3,39,126,65,229,307,123,87,120,187,241,189,174,266
ANP32A,3854,3802,658,1667,3621,2948,3572,4622,709,739,760,862,3110,1794,2757,3603
IRAK1BP1,168,146,22,75,148,108,241,393,50,34,54,56,190,134,71,134
GLCE,839,1102,298,708,1425,819,1821,2419,734,579,750,1205,1482,1304,1198,1330
PHIP,5191,9533,1207,3485,3961,2383,2800,3334,1952,1765,1514,2097,1709.03,2049,2098,2119
KIF23,1274.01,1568,230,573,1321,777,1164.57,1611,240,205,315,376,808,604,563,882
ANKK1,1,0,0,0,0,2,3,2,2,3,3,19,132,97,174,424
LCA5,258,394,56,188,250,130,533,635,208,161,94,111,392,322,236,261
DRD2,6,17,1,10,0,0,4,22,0,3,2,1,2,0,3,3
SH3BGRL2,222,300,25,157,353,363,380,376,240,202,167,269,579,500,1285,1480
ELOVL4,212,235,31,169,166,57,270,175,56,104,85,359,348,137,2051,1886
BCKDHB,354,337,51,154,482,353,386.15,494,168,489,192,198,427.71,317,577,809
ZW10,672,864,133,289,560,385,1010,1086.12,309,220,342,401,1024.1,788,766,944
TENT5A,82,66,27,170,960,545,1015,1092,550,319,575,608,762,637,986,1249
USP28,736,988,142,340,1585,1663,2607,1776,1402,1065,2062,2231,3099,2924,880,1047
TMPRSS5,3,11,2,7,6,4,37,10,21,8,9,7,97,69,27,48
HTR3A,7,30,3,17,97,76,11,3,1,3,1,2,8,2,9,3
NNMT,0,1,3,3,16,5,133,32,63,47,74,72,153,117,34,44
CYP19A1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
PAQR5,15,44,7,10,26,8,240,211,151,138,94,153,315,183,1075,1346
IDH3A,669,802,119,339,2106,2580,5152,3196,3453,4490,5962,5350,11364,7729,7772,10107
TLE3,1795,2789,406,827,1212,887,1645,1525,497,401,611,642,1352,981,2055,2298
ACSBG1,123,79,2,26,23,18,76,28,50,61,55,121,256,132,1101,1228
DNAJA4,29.34,50.23,12,32.09,143.38,203.94,1337.56,944,646.22,479,563.57,610.05,2833.25,1634.34,2654.48,3631.1
IMP3,297,242,71,132,513,432,633,872,186,161,236,288,751,422,430,668
THSD4,192,313,185,344,2188,1295,2331,4601,837,440,659,879,1620,1729,1493,1451
PTPN9,914,1342,308,599,1169,778,1854,2337,502,406,554,776,1661,1354,954,1363
CRABP1,3674,4286,277,782,693,289,393,1199,36,27,81,72,51,29,245,360
NR2E3,4,0,7,16,0,1,1,1,0,3,0,1,0,2,0,2
IREB2,1796,3595,438,1680,1591,1240,4052,4413,1298,1118,925,1105,2719,2906,1851,1980
PKM,28843.67,31253,3793.97,8076.96,27303.87,22662.99,21501.42,17768.76,17030.74,13012.67,34654.02,28278.95,42009.4,32632.85,24153.55,29809.45
MAN2C1,513,760,174,305,680,552,1232.53,1196.23,578,432,558.82,711,2072.51,1782.56,1466.58,1720.31
CELF6,34,57,0,47,13,6,38,4,6,15,5,1,15,9,3,7
NEIL1,50,63,15,46,80,70,182,195,53,55,46,55,169,127,139,184
COMMD4,218,250,47,104,231,229,500,600,99,114,114,97,681,512,366,573
C15orf39,261,335,96,137,498,315,539,600,204,155,330,236,434,330,305,361
PSMA4,2098.98,2044.96,435.99,935.94,2445.99,2081,4130,3811,1020.05,865.99,1456,1623.99,5029.95,3275.96,2004.98,2617
CHRNA3,127,253,1,81,102,51,142,23,9,52,24,5,43,17,9,8
FAM219B,277,273,92,144,332,255,614,734,254,166,263,265,612,350,376,464
MPI,488,608,106,225,709,780,1322,1015,863,610,1692,1371,2069,1552,598,778
UBE2Q2,653.01,790.86,143,383,671,524,1131.69,1281,401,401,425,479,1303,1021,1116,1308
ULK3,43,87,21,42,63,73,341,314.97,90,58,41,64,499,369.01,374,529.98
FBXO22,772.85,932.85,158,373.89,971.81,760.96,826.69,901.84,315.92,255.68,349.73,360.91,1006.32,680.88,730.51,958.09
CYP1A2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
NRG4,15.15,22.15,9,18.11,18.19,8.04,19.31,19.16,13.08,82.32,14.27,10.09,50.68,46.12,62.49,82.91
CSK,858,1000,216,439,891,605,1762,1703,395,279,461,551,1356,873,1301,1766
TMEM266,28,24,8,23,4,14,39,35,14,14,10,12,43,26,21,31
ETFA,402,454,85,218,672,756,2714,2542,861,1925,938,1009,6041,3960,3590,5477
CYP1A1,1,1,0,4,0,1,0,1,0,0,0,0,3,1,19,14
CLK3,733.05,1274.43,169.4,336.67,743.51,605.36,1260.78,1347.35,488.12,470.47,405.46,516.5,1707.19,1369.97,1571.93,1979.19
ISL2,64,98,4,44,4,3,14,49,5,1,2,0,15,13,20,29
RCN2,1622,1951,374,1017,2129,1335,3612,4884,754,486,700,847,2638,2011,1380,1592
PSTPIP1,10,9,3,9,14,6,36,20,21,15,35,27,126,60,157,164
CYP11A1,0,1,0,9,28,4,71,9,23,16,54,102,83,82,14,15
TSPAN3,1677,1885,370,944,2956,2076,6296,5972,1553,1120,2045,1885,5926,4827,1740,2339
STRA6,263,373,65,116,99,50,108,77,16,21,21,29,148,68,264,288
TMEM30A,1290,1705,193,903,2583,2028,3574,3948,1369,1137,1242,1476,3847,3253,4560,5036
HMG20A,682,1151,167,569,944,793,2119,2377,551,397,534,490,1947,1635,1017,1187
COX7A2,1368,1178,256,580,2378,2971,3159,2302,2338,2142,3006,3098,6389,3620,2591,3694
COL12A1,479,1119,879,3151,3213,1567,24048,20413,12473,8064,17517,23317,13764,15483,3294,2837
STOML1,145,198,36,132,270,216,337,327,109,101,113,115,460,333,227,333
LOXL1,83,76,61,80,1904,1335,1754,2370,811,463,1106,1215,2938,2272,511,788
NPTN,678,835.27,226,616,3041.56,2433.17,3787.29,4395.28,1081.62,869,1088,1453,3763.29,2985,4080,4928
HCN4,79,182,24,105,2256,1356,69,65,15,17,3,1,33,32,38,73
NEO1,2135,3918,685,1980,4911,3459,5029,5929,2063,1463,2356,2822,4845,5073,2958,3295
MTO1,214,306,38,103,407,327,471,405,200,204,280,304,442,320.95,383,473.99
IMPG1,2,1,0,6,8,9,1,2,3,3,3,5,0,1,1,0
CGAS,9,8,11,30,55,23,156,149.75,29,43,40,45,110,72.94,192,144.9
OOEP,0,2,2,3,2,5,15,19,4,4,0,2,23,21,2,5
GSTA1,612,588,168,303,1017,1127,1039.65,1986.33,997.19,856.25,691.43,1283.32,5147.56,2473.84,19144.3,26190.76
ELOVL5,1399,1587,288,640,2685,2095,1962,2129,809,712,814,894,2111,1644,2642,3673
GCLC,431,555,79,222,609,286,908,1163,264,237,212,333,961,1021,1503,1687
LRRC1,255,284,65,139,592,442,642,749,215,157,177,286,794,592,909,1158
TMED3,252,231,98,226,1382,1236,2231,2360,934,694,1073,1047,2794,1931,1357,2168
MLIP,1,1,1,26,799,1100,871,280,659,533,1171,1042,2054.13,1603.4,885,1050
RASGRF1,4,6,0,42,6,5,4,4,4,1,4,10,9,8,16,24
TINAG,12,7,1,2,19,0,2,0,0,2,0,0,0,2,0,2
FAM83B,34,42,23,32,162,93,159,144,109,115,83,227,107,109,609,469
CTSH,14,18,2,26,241,170,498,442,318,248,125,230,1098,953,1021,1862
HCRTR2,3,4,2,24,11,7,12,15,9,3,6,3,6,9,1,5
ADAMTS7,453,603,224,339,1079,789,956.01,809,223,172,277,290,588.02,483.06,93,121.03
TPM1,2558,3206,1253,2587,22864,28756,41670,19587,33812,24910,72059,64770,107623,74402,31968,41815
ZIC1,1234,1098,3,688,66,18,31,12,5,15,10,9,14,41,0,1
PLSCR1,214,216,40,74,280,230,317,473,130,105,55,169,859,535,683,1193
LACTB,126,177,29,73,157,119,302,281,145,124,214,179,571,421,396,558
PLSCR2,0,3,2,9,84,164,59.25,40.94,28,23,5,21,141,143.12,64,75
CA12,160,244,65,106,151,64,1124,765,230,237,340,341,732,431,904,760
PLOD2,553.89,1052,282,615.96,2110.93,1399.92,4915.87,6435.58,1193.89,802.89,1534.94,1394.97,2955.89,2803.61,1305.82,1033
APH1B,145,204,23,215,201,161,270,212,118,119,122,114,225,150,308,338
USP3,1229,1642,226,706,1130,866,929,1151,376,294,356,512,941.02,716.69,644.18,819
PLSCR4,8,12,6,15,88,56,234,294,94,61,69,79,343,264,547,552
DAPK2,39,34,18,36,73,56,137,184,197,120,138,165,402,292,899,1170
CIAO2A,749,604,126,345,1033,978,1178,1268,414,344,596,557,1107,746,557,815
SNX1,1054,1161,265,572,1295,1029,2752,2828,719,507,918,945,1879,1450,1267,1684
PPIB,2739.59,2443.41,727.52,1871.89,6817.44,5287.74,10438.81,9609.93,3288.06,2253.98,3485.02,3925.27,9434.89,6863.6,3071.02,4371.51
CSNK1G1,698,1235,124,460,763,525,1050,1124,445,354,325,400,786,835,690.88,758
TRIP4,536.07,706,134,385.97,779,606,1201.3,1645.01,461.92,387.02,399.03,534.3,1155.31,958.12,854.98,1006.08
RBPMS2,162,239,31,64.85,684,904,136,91,41,104,34,71,126,118,73,117
SPG21,652,618,162,449,995,801,2373,2138,498,458,674,725,1229,933,668,1012
PARP16,74,96,18,55,107,86,281,306,93,116,73,95,374,238,166,231
DPP8,2034,2946,405,1249,2759,1903,3481,3682.82,2360,1985,2795,2860,4140,4330.54,3236,3313
IGDCC3,1799,2427,13,60,35,23,16,8,9,6,11,11,11,11,5,4
DIS3L,541,694,146,362,982,782,807,908,345,316,439,513,737,599,636,813
TIPIN,988,876,193,419,805,525,938,1214,217,164,186,252,882,741,385,392
SNAPC5,152,168,39,85,239,190,188,265,127,100,151,144,540,257,449,541
RPL4,19705,19143,4324,9211,29657,23216,28847,42775,11679,8516,15282,16399,30862,20998,18360,25751
ZWILCH,566,690,106,195,463,268.97,512.87,632.96,110.67,85.86,79,94.93,403.85,306.99,150.65,107.51
LCTL,0,0,0,2,0,1.03,2.13,3.04,7.33,137.14,0,2.07,8.15,1.01,14.35,20.49
SMAD3,1700,2498,477,889,1982,1164,1868,2064,741,569,1085,1008,1691,1586,1776,2094
C15orf61,59.98,57.85,14,40,68.89,57,79.94,102.94,33.86,38.91,33,31.74,140.99,128.98,105.96,111.95
PIAS1,585,865,141,382,927,639,1063,1260,398,377,428,504,847,860,983,1223
U2SURP,2903,4106.56,594,1645.34,2785,1740,2401.01,3169,1000.02,884.38,871,1405,1916,1768.97,1716,1852
ATR,1322,2185.99,367,751,1312,679,904.63,1377.41,573.72,495.46,427,650,953.23,889.61,631.5,612.48
XRN1,1016,2026,325,971,1393,867,1917.97,2087.97,973,790.98,754.67,1194,1319.58,1605,1434.97,1452
TFDP2,2109,2783,266,734,1216,964,1376,1607,990,701,1094,1304,1499,1658,1635,1540
ATP1B3,1163,1359,175,509,1725,1284,2731,2525,695,622,880,1061,3263,2152,4092,5480
RASA2,376,688,131,386,476,306,813,896,441,320,300,383,590,538,651.28,720
UBE3D,60,75,6,29,85,63,50,52,22,25,40,32,50,40,48,67
RWDD2A,11,8,2,13,27,27,30,39,6,11,9,13,20,25,15,17
ME1,100.46,171.59,30.04,93.54,562.23,389.21,958.58,1154.69,258.04,291.42,283.68,442.57,1490.26,1110.34,3837.93,4186.17
TBX18,238.78,226.22,131.86,203.82,1379.14,1537.8,228.81,115.89,51.97,53.73,108.83,134.86,114.78,96.93,33,47
NT5E,26,49,29,58,234,131,1056,899,725,668,698,1132,1919,1436,1810,2880
SNX14,316,385.4,66.02,245.05,715,501,1146,1000,375.59,371.54,500,497.66,1117.25,881.05,936.01,1129.51
SYNCRIP,4261,6047.71,1055.08,2761.75,4392.57,2538,7367,7603,2045.84,1769.39,2238.25,3128.81,4833,4626.05,4297.77,4318.09
CRTAP,180,226,112,210,1902,1618,2947,3479,795,509,1071,1177,2817,1943,777,1088
CMTM6,298,351,76,207,877,525,1323,1423,480,378,464,617,1487,1139,1889,2600
DYNC1LI1,845,1211,192,543,1080,825,1388,1256,599,532,1018,1114,1493,1201,980,1185
CMTM7,197,226,38,127,367,294,406,396,154,101,188,185,397,266,265,508
STT3B,2191,3177,533,1409,4563,3197,5380,5002,2124,1693,2936,3164,4784,3833,3299,4040
TGFBR2,313,493,318,601,2893,1630,5174.03,5452.01,2302,1658,3080,3825.91,5577.33,4800,3375,4635.37
ZCWPW2,0,4,0,7,1,6,4,9,2,5,4,3,5,3,4,7
EOMES,128,6,0,12,6,0,0,0,0,2,0,0,0,0,0,0
SLC25A36,1274.76,2389.84,516,1177.71,2059,1437,2993.43,4385.39,1429,1254,1059.52,1157,2956,2989,2040.46,2303
TRIM42,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
CLSTN2,55,180,68,197,206,111,252,251,148,102,141,101,133,126,23,16
RBP2,1,0,2,2,2,4,17,0,46,48,56,71,151,47,499,696
NMNAT3,15,27,3,14,34,21,54,38,46,54,57,43,154,104,137,150
COPB2,2941,3605,715,1812,6497,4416,7024,7699,2273,1763,3286,3836,6527,5212,3731,4754
MRPS22,377,419,69,172,492,392,426,469,222,222,304,262,556,362,258,383
PIK3CB,167.71,236.67,20,103.46,151.41,127.28,356.82,367.09,178.39,149.4,147.67,229.96,476.3,326.63,1571.76,1875.63
FAIM,195,286,27,135,196,129,174,170,40,43,33,62,198,166,144,167
ARMC8,670,931,120,396,760,600,1018,964,530,462,642,684,1157,944,810,1095
DBR1,324,338,76,134,254,192,303,340,115,81,126,123,386,263,248,316
MRAS,296,410,100,377,344,262,1190,1021,220,192,290,260,619,522,318,357
CLDN18,1,0,0,12,131,3,2,0,0,1,0,0,0,0,0,0
NCK1,383,548,113,334,633,533,977,1113,453,372,513,518,1009,749,1218,1389
CDC25A,980,1492,237,454,808,538,990,1055,227,157,264,260,616,464,303,400
NME6,268,255,45,105,252,235,254,232,114,80,180,143,301,143,133,189
MAP4,1773,3124.36,495,1743.01,3634,2939,10641.27,7284.05,5567.02,4555.06,7542.66,8245.48,14109.44,13331.35,8862.51,9468.48
DHX30,2182,2899.64,466,1081.02,2274.01,1680,2014.17,2153,837,648,957.45,1171.96,1993,1659,1187.68,1460.36
SMARCC1,2306,4544,621,1676,1944,1629,3921.99,4370,791,580,784,960,2209,1894.99,1321,1264
CSPG5,181,173,3,137,105,88,152,135,28,23,33,32,44,29,9,33.28
SCAP,816.93,971.72,245.98,470.5,1260.8,788.97,1474.56,1371.73,642.9,475.89,773.99,966.48,1552.97,1127.6,1385.61,1506.23
PTGS2,4,16,4,8,15,7,43,64,32,17,54,29,80,37,321,339
KIF9,20,39,2,16,20,7,219,250,68,77,20,77,236,127,187,278
NRADDP,185,209,69,93,348,196,230,223,48,39,55,68,177,90,127,253
PTH1R,499,533,250,325,789,573,856,882,298,177,600,495,729,440,79,122
PRSS44P,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0
TDGF1,0,0,0,8,2,0,0,0,0,0,0,3,0,0,1,0
LRRC2,1,0,0,4,8,2,20,7,58,45,101,307,349,218,233,375
LTF,0,0,12,13,80,124,484,116,2870,3086,3364,7290,20541,17158,172216,322848
LRRFIP2,452,496,97,212,819,809,970,960,543,423,627,790,2289,1895,1849,2207
MLH1,528,622,106,199,610,482,600,657,203,174,232,274,628,537,294,359
DCLK3,4,6,12,28,47,47,53,39,24,14,27,13,56,44,53,64
TRIB1,275,443,44,147,353,206,733,711,303,244,386,317,795,590,1044,1315
STAC,2,3,14,14,80,29,134,110,27,20,37,26,103,72,22,24
ARPP21,12,29,73,187,107,76,1793.8,1291.97,519.71,400.08,932,694,1459.79,1250.79,479,565
PDCD6IP,776,1261,167,514,1473,1108,3785,3815,1134,842,1227,1629,4048,3436,5501,6678
FBXL2,69.06,112.1,18.41,63.69,77.03,50.53,215.64,251.25,92.45,85.59,44.54,70.65,290.04,221.4,200.8,252.65
MYD88,28,35,7,14,171,128,374,424,140,124,149,217,566,381,669,879
SCN5A,108,101,3,43,1703,1593,200,143,154,99,204,214,278,265,36,46
WDR48,1357.98,1732.06,266.69,748.33,1510.66,1124.75,1659.07,2269.88,533.15,431.38,533.3,622.69,1269.61,1039.51,1237.89,1313.81
GORASP1,364.02,371.94,100.31,145.67,641.34,590.25,1024.93,1009.12,336.85,210.62,324.7,348.31,863.39,674.49,603.11,778.19
TTC21A,10,40,1,10,6,2,325,269,234,137,9,94,399,264,248,348
CSRNP1,68,95,21,40,194,162,232,205,124,62,103,135,252,180,338,485
MOBP,14,0,0,35,0,0,1,1,4,4,5,2,12,4,1,3
RPSA,24576.17,21078.45,4359.82,9901.38,33555.53,30909.67,30283.09,40461.99,11705.43,9365.87,17783.15,17901.33,29161.38,18655.51,14039.68,20675.75
SLC25A38,290,243,63,150,220,202,409,435,152,141,157,112,365,267,377,490
HHATL,0,0,0,2,160,221,252,87,532,434,1242,1087,1529,1206,777,1020
NKTR,1958.27,4439.58,671.4,1799.08,1877.75,1109.34,3820.26,4661.35,1988.59,1879.66,1063.93,1589.91,4308.14,5601.75,3587.65,3673.74
SS18L2,117,114,35,107,279,264,451,441,234,217,256,232,750,545,461,578
PCCB,423,468,147,325,1043,869,1438,1681,564,652,787,761,2291,1598,1720,2187
VIPR1,17,11,6,29,14,8,87,50,45,29,54,51,172,163,754,844
LYZL4,0,0,0,1,2,0,3,1,1,2,2,1,2,4,5,7
AMOTL2,1510,1949,352,637,1270,1027,2143,2427,845,582,982,831,1599,1616,1831,1967
CCK,5,6,0,1,13,3,5,2,3,1,3,4,3,4,1,4
CEP63,333.86,417.84,70,173,408.97,288.81,734.67,882.24,373.27,271,429.34,398,1184.77,878.82,849.83,928.29
TRAK1,756,864,136,405,1171,897,3175,2495,1815,1355,2401,2041,6916,5511,4873,6097
EPHB1,225,255,35,285,168,101,161,133,42,44,43,30,95,72,44,43
ABHD5,265,325.89,86,213.93,526,411,669,737.96,389.54,357.56,395,556.42,1152.01,752.43,1397.06,1708
RYK,1344,1592,427,876,2642,1973,3001,3680,1045,800,1411,1503,2654,1942,1620,2020
SLCO2A1,6,16,21,73,283,200,360,258.01,131,92,117,222,521,437.15,539.95,759.06
RAB6B,256,603,17,513,74,60,623,192,35,134,84,33,155,77,25,26
KIAA1143,166,161,51,112,253,214,265,359,94,87,108,138,503,356,270,369
SRPRB,496,565,120,261,969,720,1288,1412,387,251,456,483,1165,742,770,880
TF,111,151,26,124,4204,1028,579,385,681,761,541,870,1118,1640,798,1129
TOPBP1,3283.82,4096.89,690.03,1290.72,3453.06,2108.59,3139.35,4032.35,960.7,717.11,995.87,1122.15,2360.49,2074.2,1283.4,1100.92
BFSP2,0,1,1,2,2,1,6,4,3,4,1,2,12.85,11,2.89,2
UBA5,647,849,185,435.11,947.76,694,1440.27,1953.66,532.04,426,429,624,1989.11,1509.01,1030.97,1329.01
NPHP3,171.92,305,47,119.88,261,278,493,602,170.9,108,145,135,506,511.67,214,309
DNAJC13,1499,2628,386,1051,2268,1448,2879,2799,1230,1015,1117,1396,1912,1778,1495,1586
ACP3,24,43,14,39,389,9,193,375,169,143,38.37,90,403,383,1100.86,1871.02
GNAI2,3895,3327,565,1472.98,4514,3111,8095.05,8126,1751,1211,2714,2558.01,7449.12,5232.21,3231.25,5027.5
MRPL3,734,831,125,298,1033,772,1484,1341.33,532.79,496,682,683.07,2001.98,1278.84,933,1307.3
CPNE4,9,9,0,21,8,5,14,11,7,1,4,4,6,6,13,16
NUDT16,74,70,13,44,96,78,114,163,61,51,46,86,276,183,117,212
ASTE1,110,159.39,28,60,145,138,143.55,196.13,65,59,71,87,166.35,111,81.12,149.44
ATP2C1,1123,1624.61,243,894,2676,2025,2242,2339.87,900,784,1129,1220,1845,1605,1814.88,2125.56
PIK3R4,555,885,158,350,847,591,818,892,314,292,422,478,762,633,623,800
MANF,1032,1096,199,453,1769,1602,3361.1,2887.07,629,525,730,664,2330.13,1336,1156.98,1815.11
MAPKAPK3,50,54,20,39,128,73,505,367,455,380,454,563,1495,828,1814,2655
CISH,38,48.82,10,61,79,92.88,244,176,221,211.63,173,136.74,529,460.76,384,574
HEMK1,184,259,45,114,273,263,437,452,247,272,303,275,722,534,422,527
RBM5,2281,3980.99,720,1675,2703,1660,3932,4339,1447,1307,1159,1183,4153,3659,3691,4218
RBM6,2101,3124,445,1238,1695,1163,2088,2279.86,870,790,805,975,1942.46,1395.02,1743.52,1845.01
MON1A,122,109,18,51,144,117,183,185,104,72,124,131,175,153,334,414
MST1R,14,33,19,37,97,109,360,203,118,103,95,160,414,344,824,1093
TRAIP,382,449,71,138,277,152,253,286,49,35,48,41,182,156,66,75
BSN,221,496,9,338,87,55,197,89,50,61,54,26,103,86,148,151
APEH,821,980,129,313,958,780,998,901,453,359,632,687,1133,880,907,1327
MST1,12,13,1,0,19,1,78,84,95,57,21,61,165,91,186,280
AMIGO3,55,106,17,32,90,68,135,128,50,64,49,82,226,185,117,152
IP6K1,1508,2370.74,488.47,1092.66,2498.31,1917.98,3850.02,4098.62,1501.61,1070.08,1458.28,1877.84,4149.65,3333.9,3164.23,4017.47
CDHR4,10.26,31.02,14.69,14.49,51.91,38.7,185.9,151.98,245.09,160.85,14,129.72,1055.26,460.49,490.51,854.71
UBA7,93.96,122,16,40,187.91,186,159.47,180.77,109.94,111,85,85,489.56,420.51,543.6,953.92
NCKIPSD,111,149,49,70,145,106,333,327,88,55,113,111,328,221,259,318
IP6K2,658,1024,196,451,619,443,1167,1601,326,231,218,186,1414,1188,914,1164
PRKAR2A,1804,2356,354,1005,2849,1845,3261,2486,1918,1463,3211,3169,4113,3581,2876,2789
SLC25A20,218.14,277.62,67.01,179.33,756.21,738.03,443.43,435.12,333.78,895.55,409.92,741.93,1773.81,1219.94,783.51,1186.05
QARS1,1505,1771,337,828,2035,1801,2908.02,3713.53,887,683,1076,1404,3422.41,2424.18,2440.01,3492.71
NICN1,365,459,85,334,480,441,607,1043,155,147,228,190,467,320,322,403
AMT,468,451,33,100,348,248,182,225,86,63,82,94,193,143,117,181
KLHDC8B,364,318,89,213,1398,1892,602,628,200,137,109,127,830,639.88,480.24,803
C3orf62,6,5,0,1,5,2,14,8,5,3,4,6,10,3,22,33
USP4,1889,2676,453,1143,2705,2015,2602,2537,1201,999,1726,1904,3557,2629,2567,3127
NT5M,236,255,47,109,319,330,383,405,159,114,190,153,477,279,229,335
SREK1,1264,2074,380,820,915,611,1885,2647,608,554,403,440,2721.41,2615.52,1898,2057
EML4,2215,3591,651,1553,2629,1564,1546,1648,447,392,512,660,872,740,419,423
THSD7A,521,1823,52,1074,243,201,423,588,203,174,197,179,306,336,232,273
FLCN,380,476,100,250,611,458,1351,1097,415,333,562,618,1785,1491,1314,1684
ATXN2L,732,1420,187,449,594,442,3111,2854,479,399,452,550,2966,2502,2798,3152
CHSY1,1377,1857,472,1070,3449,1880,2397,3056,826,518,1155,1251,1148,1056,431,544
GPR19,116,95,6,44,61,52,48,48,15,15,18,18,90,52,36,44
FHL3,124,158,53,85,143,100,807,519,376,256,890,578,1546,1083,1315,2486
PYGM,13,27,25,35,2789,3395,11574,4263,14788,10365,37827,30204,34557,26894,20219,25580
COLGALT2,46,61,16,59,144,101,560,386,182,122,186,137,560,495,2252,1059
CREBL2,43,85,15,33,50,63,230,294,145,85,69,55,345.01,279.91,722,843
MARCHF3,32,42,6,31,70,73,73,60,88,77,62,90,117,87,212,298
FAM189B,65,101,20,44,112,76,813,859,83,45,85,70,578,462,310,379
OAS3,5,2,0,32.03,8.99,1,2,2,0,5,4.55,2.96,6.99,6.15,19.48,27
C1orf21,574,952,207,677,1079,645,2069,2503,857,523,904,1210,2672,2081,943,971
PON2,297.35,305.57,43,170.21,634.62,438.63,987,989.56,442.26,420.4,398.43,583.54,1599.58,1170.13,1823.22,2765
C11orf91,0,0,0,0,0,0,1,0,0,0,1,3,2,4,0,0
PRORSD1P,76,74,27,41,165,164,242,433,87,97,124,180,465,294,238,291
CD59,131,131,15,80,292,339,292.48,274.27,149,131.23,223,194,1031.88,628.26,722.77,1123.55
C20orf96,5,16,2,9,7,19,269,429,109,54,8,39,248,97,50,109
MALT1,125,270,69,177,300.74,213,482.85,479.9,336,304,211,276,714.52,744.64,1252.94,1240.95
OAS2,1,1,0,9,8,11,17,20,7,6,7,11,44,35,89,108
NLRP3,5,2,1,14,11,6,28,13,5,6,9,15,19,15,9,19
LMO2,165,159,20,95,494,380,452,442,162,124,188,184,663,414,311,561
KANK1,491,726,131,335,2040,1742,2434,2799,1067,858,1114,1492,2751,2428,4538,4630
EXD2,440,623,96,284,444,266,817,766,298,257,286,283,802,650,968,1101
RESF1,1234,1997.84,303,841,1719,1067,1230.83,1242.51,1011,752.45,957.01,1181.99,1144,977.87,1092.96,1012.02
SYDE1,437,565,160,260,879,512,1068,1473,308,195,366,428,1015,843,470,636
TRIB3,33,17,1,13,19,16,50,42,14,8,17,28,119,51,109,117
MDFI,396,355,165,230,833,875,682,916,179,86,134,191,495,384,431,515
MANSC1,10,15,2,19,125,123,137,115,73,75,117,150,339,285,216,389
SBSPON,8,7,5.62,7.12,77.26,34.41,65.76,114.37,34.34,34.93,53.78,73.89,87.45,61.94,38.59,33.5
ABTB2,336,498,119,208,365,270,956,1069,462,258,644,611,1069,931,785,955
FOLR2,0,0,0.36,1,37.4,25.87,82.16,30.66,68.07,60.8,105.54,93.66,108.35,120.57,214.7,418.64
BMP8A,1,0,0,3,5,7,7.82,1,11,11,46,30,20,21,4,0
MIER3,817,1283,291,566,1294,808,1313,1416,592,479,524,629,960,1051,826,942
SNX33,365,562,123,249,806,630,681,808,475,367,427,484,689,575,763,1137
ABLIM3,13,33,64,239,207,162,3034,2287,528,511,937,570,1042,752,783,913
INPPL1,1881.08,2543.57,569.13,949.76,3546.39,3159.46,5153.42,4522.36,2133.23,1592.95,3091.85,2254.61,4895.5,4065.84,2885.93,3861.37
