gene_id,10.5_n1,10.5_n2,11.5_n1,11.5_n2,13.5_n1,13.5_n2,15.5_n1,15.5_n2,15.5_n3,15.5_n4,18.5_n1,18.5_n2,P0_n1,P0_n2,Adult_n1,Adult_n2
DPP7,124,226,43,101,239,189,284,296,134,85,120,139,393,298,323,470
GRIN1,4,16,1,43,10,6,26.54,11.37,17,18,7,5,45.6,23.54,32.68,28.27
ARL6IP6,469,508,91,244,496,353,674,816,221,178,210,221,510,363,374,349
LRRC26,0,1,0,0,0,0,120,162,178,96,88,186,472,317,539,1037
TMEM210,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ANAPC2,654,987,157,468,762,679,2628,2788,614,414,655,667,3039,2101,2034,2728
SSNA1,569,484,95,244,665,590,1230,1406,307,253,320,333,1045,620,485,708
FAM166A,0,0,0,0,0,0,1.01,1,0,0,0,0,2,4,1,1
RBMS1,785,1406,309,674,1782,1434,2647,3224,903,723,716,1007,3488,3006,2949,3930
ITGB6,15,27,22,61,64,29,264,201,385,317,630,388,569,478,665,996
ARRDC1,58,109,22,45,173,103,356,407,181,119,122,135,817,608,745,1204
ZMYND19,690,712.63,119,309.93,653,467,1016,1034,204,165,238,229,754.44,528.01,483,522
DPH7,264,358,61,164,249,207,319,435,118,79,101,118,355,280,203,309
PAX8,38,141,1,116,5,2,215.99,142,114,71.87,0,27,533.99,571.96,3,10
MARCHF7,1538,2305,473,1110,2143,1421,2197,2880,1053,965,1012,1590,2166,2108,2397,2777
PSD4,21,37,17,52,133,74,157,95,81,108,86,144,307,213,500,627
LY75-CD302,179,366,41,75,268,53,41,77,26,13,15,22,53,63.82,86,122
IL1RN,0,1,0,18,12,2,65,24,44,48,36,79,498,200,741,1274
IL36RN,0,0,1,19,0,0,26,3,6,10,10,34,64,7,425,329
IL36A,0,0,0,0,0,0,8,0,3,4,2,42,91,27,614,653
IL36B,0,0,0,0,0,0,3,0,0,0,0,8,15,2,290,203
HNMT,15,19,7,10,78,87,36,36,20,37,23,28,52,49,124,152
BAZ2B,1557,3113,357,1109.97,1496,1033,1552,1696,888,722,678,985,1257.02,1432.57,1387,1514
WDSUB1,142,187,44,92,449,327,438,439,158,123,160,171,502,427,397,516
DAPL1,14,20,1,4,7,1,81,149,33,28,10,72,187,89,342,481
PKP4,1114,1583,314,549,2849,2111,2207,2619,820,604,906,968,2052,1470,1640,2172
GALNT3,8,33,4,24,75,15,260,285,108,106,52,172,540,331,676,1054
NUP35,443.88,517.19,97.44,190.95,362.54,254.47,392.38,438.91,142.76,120.2,202.52,169.2,312.45,203.15,268.43,401.84
DUSP19,110,142,30,84,139,113,226,316,77,53,83,72,180,128,153,210
NCKAP1,2012,2880,382,1266,3005,2273,3601,3656,1496,1307,1520,1860,3704,3063,3975,4473
FRZB,338,498,153,201,354,115,614,618,358,224,439,332,1320,828,2105,1763
DNAJC10,2306,2901,527,1292,5374,3531,5185,6246,1677,1430,2150,2832,4973,3974,3356,4751
ITPRID2,224,420,87,293,908,515,1823,1979,654,617,470,844,1978,1909,2933,3315
ITGA4,495,656.11,231,547.98,1294,458,1529.94,977,515.74,393,566,456,644.86,586.68,245,197.01
SLC25A12,570,727,125,358,1476,1284,2412,1392,2715,1861,5224,4730,7284,5802,6576,8339
UBE2E3,1859,2148,310,1140,1653,1296,1782,2415,477,382,467,546,1485,1114,619,935
DYNC1I2,2169,3195.01,507,1541.6,2987,2039,3433.16,3892,1030,829,1327,1346,2926.16,2183.54,2163.48,2845.78
CWC22,742.24,967.92,165.33,389.81,768.69,472.15,958.04,1208.2,285.36,230.17,361.32,465.25,989.38,711.38,618.61,690.79
CYBRD1,9,29,31,75.05,261,240,1912.34,2331.22,414,204,257,215,1253.57,1461.88,479.83,529.98
ZNF385B,16,15,6,41,76,39,312,416,124,50,94,80,328,322,510,601
HAT1,1496,1392,171,418,1212,1017,1078,1319,214,203,253,340,1034,650,592,619
